Title,Link,Creation Date,Author,Topic
Who Writes the Rules of a Blockchain?,https://hbr.org/2021/07/who-writes-the-rules-of-a-blockchain,23-Jul-21,Jake Ryan,Finance & Accounting
How to Address the Supply-Chain Staffing Crisis,https://hbr.org/2023/09/how-to-address-the-supply-chain-staffing-crisis,17-Sep-23,Joe McKendrick,Technology & Operations
Blockchain Could Help Us Reclaim Control of Our Personal Data,https://hbr.org/2017/10/smart-ledgers-can-help-us-reclaim-control-of-our-personal-data,5-Oct-17,Michael Mainelli,Analytics and data science
How Brands Are Experimenting with Web3,https://hbr.org/2022/05/how-brands-are-experimenting-with-web3,10-May-22,Ana Andjelic,Technology & Operations
Will We Realize Blockchain's Promise of Decentralization?,https://hbr.org/2019/09/will-we-realize-blockchains-promise-of-decentralization,4-Sep-19,Hanna Halaburda; Christoph Mueller Bloch,Technology & Operations
Blockchain Will Transform Customer Loyalty Programs,https://hbr.org/2017/03/blockchain-will-transform-customer-loyalty-programs,14-Mar-17,Alex J Hill; Dan Kowalewski; Jessica McLaughlin,Sales & Marketing
How Utilities Are Using Blockchain to Modernize the Grid,https://hbr.org/2017/03/how-utilities-are-using-blockchain-to-modernize-the-grid,23-Mar-17,James Basden; Michael Cottrell,Technology & Operations
Web3 Is Our Chance to Make a Better Internet,https://hbr.org/2022/05/web3-is-our-chance-to-make-a-better-internet,10-May-22,Li Jin; Katie Parrott,Technology & Operations
Sellers Are Overwhelmed by New Technology,https://hbr.org/2023/08/new-technology-is-overwhelming-sales-teams,22-Aug-23,George Tobias; Craig Riley; Colleen Giblin; Betsy Gregory-Hosler,Sales
Platforms and Blockchain Will Transform Logistics,https://hbr.org/2019/06/platforms-and-blockchain-will-transform-logistics,19-Jun-19,Sangeet Paul Choudary; Marshall W. Van Alstyne; Geoffrey G Parker,Technology & Operations
Why Decentralized Crypto Platforms Are Weathering the Crash,https://hbr.org/2022/12/why-decentralized-crypto-platforms-are-weathering-the-crash,7-Dec-22,Shai Bernstein; Scott Duke Kominers,Blockchain
Whiteboard Session: How Does Blockchain Work?,https://hbr.org/video/5582134272001/whiteboard-session-how-does-blockchain-work,20-Sep-17,Karim R. Lakhani,Technology & Operations
How the Pandemic Is Pushing Blockchain Forward,https://hbr.org/2020/04/how-the-pandemic-is-pushing-blockchain-forward,27-Apr-20,Remko Van Hoek; Remko van Hoek; Mary Lacity,Technology & Operations
Blockchain Could Help Musicians Make Money Again,https://hbr.org/2017/06/blockchain-could-help-musicians-make-money-again,5-Jun-17,Imogen Heap,Technology & Operations
Blockchain Could Make the Insurance Industry Much More Transparent,https://hbr.org/2017/07/blockchain-could-make-the-insurance-industry-much-more-transparent,12-Jul-17,Dante Disparte,Technology and analytics
How Safe Are Blockchains? It Depends.,https://hbr.org/2017/03/how-safe-are-blockchains-it-depends,7-Mar-17,Allison Berke,Technology & Operations
How the Metaverse Could Change Work,https://hbr.org/2022/04/how-the-metaverse-could-change-work,5-Apr-22,Mark Purdy,AI and machine learning
How Digital Currencies Can Help Small Businesses,https://hbr.org/2022/05/how-digital-currencies-can-help-small-businesses,25-May-22,Shai Bernstein; Christian Catalini,Blockchain
How Blockchain Can Help Marketers Build Better Relationships with Their Customers,https://hbr.org/2018/10/how-blockchain-can-help-marketers-build-better-relationships-with-their-customers,1-Oct-18,Campbell R Harvey; Christine Moorman; Marc Toledo,Sales & Marketing
"8 Questions About Using AI Responsibly, Answered",https://hbr.org/2023/05/8-questions-about-using-ai-responsibly-answered,9-May-23,Tsedal Neeley,Technology & Operations
Alibaba in Blockchain: Integrating Blockchain-based Remittances into Cloud Services,https://hbr.org/product/alibaba-in-blockchain-integrating-blockchain-based-remittances-into-cloud-services/IN1547?sku=IN1547-EPB-ENG,29-Oct-18,Jason P. Davis; Minh Vo; Anne Yang,Innovation & Entrepreneurship
Saama Technologies: Growth Through a Focused Vertical Market Strategy,https://hbr.org/product/saama-technologies-growth-through-a-focused-vertical-market-strategy/KE1086?sku=KE1086-HCB-ENG,27-Sep-18,Mohanbir Sawhney; Pallavi Goodman,Sales & Marketing
Ripple: The Business of Crypto,https://hbr.org/product/ripple-the-business-of-crypto/719506?sku=720P05-HCC-POR,19-Apr-19,David B. Yoffie; George Gonzalez,Strategy & Execution
Lark & Berry: The Diamond Disruptors,https://hbr.org/product/lark-berry-the-diamond-disruptors/LBS351?sku=LBS351-PDF-ENG,16-Nov-23,Ioannis Ioannou; Nick Mickshik,Management
